region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
af-south-1,30,0,60,7,0.0043,0.1,0.72,3.14
af-south-1,30,10,1800,14,0.0043,0.1,0.72,3.14
af-south-1,30,20,2250,17,0.0043,0.1,0.72,3.14
af-south-1,30,120,6750,52,0.0377,0.9,6.33,27.52
af-south-1,200,0,400,46,0.0287,0.69,4.82,20.94
af-south-1,200,10,12000,93,0.1088,2.61,18.28,79.44
af-south-1,200,20,15000,117,0.1355,3.25,22.77,98.94
af-south-1,200,120,45000,351,0.4189,10.05,70.37,305.78
af-south-1,1000,0,2000,234,0.1512,3.63,25.41,110.41
af-south-1,1000,10,50000,468,0.5865,14.08,98.54,428.17
af-south-1,1000,20,50000,585,0.5949,14.28,99.95,434.3
af-south-1,1000,120,50000,680,0.6018,14.44,101.1,439.28
ap-east-1,30,0,60,7,0.0043,0.1,0.73,3.17
ap-east-1,30,10,1800,14,0.0043,0.1,0.73,3.17
ap-east-1,30,20,2250,17,0.0043,0.1,0.73,3.17
ap-east-1,30,120,6750,52,0.0382,0.92,6.42,27.92
ap-east-1,200,0,400,46,0.0289,0.69,4.86,21.12
ap-east-1,200,10,12000,93,0.1103,2.65,18.53,80.52
ap-east-1,200,20,15000,117,0.1374,3.3,23.09,100.32
ap-east-1,200,120,45000,351,0.425,10.2,71.4,310.25
ap-east-1,1000,0,2000,234,0.1525,3.66,25.63,111.36
ap-east-1,1000,10,50000,468,0.5944,14.27,99.86,433.91
ap-east-1,1000,20,50000,585,0.6029,14.47,101.28,440.09
ap-east-1,1000,120,50000,680,0.6097,14.63,102.43,445.1
ap-northeast-1,30,0,60,7,0.0039,0.09,0.66,2.88
ap-northeast-1,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-northeast-1,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-northeast-1,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-northeast-1,200,0,400,46,0.0263,0.63,4.42,19.2
ap-northeast-1,200,10,12000,93,0.1003,2.41,16.85,73.2
ap-northeast-1,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-northeast-1,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-northeast-1,1000,0,2000,234,0.1387,3.33,23.3,101.23
ap-northeast-1,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-northeast-1,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-northeast-1,1000,120,50000,680,0.5543,13.3,93.12,404.64
ap-northeast-2,30,0,60,7,0.0037,0.09,0.63,2.74
ap-northeast-2,30,10,1800,14,0.0037,0.09,0.63,2.74
ap-northeast-2,30,20,2250,17,0.0037,0.09,0.63,2.74
ap-northeast-2,30,120,6750,52,0.033,0.79,5.55,24.11
ap-northeast-2,200,0,400,46,0.025,0.6,4.2,18.24
ap-northeast-2,200,10,12000,93,0.0953,2.29,16.0,69.54
ap-northeast-2,200,20,15000,117,0.1187,2.85,19.94,86.64
ap-northeast-2,200,120,45000,351,0.367,8.81,61.66,267.95
ap-northeast-2,1000,0,2000,234,0.1317,3.16,22.13,96.17
ap-northeast-2,1000,10,50000,468,0.5133,12.32,86.24,374.74
ap-northeast-2,1000,20,50000,585,0.5207,12.5,87.47,380.08
ap-northeast-2,1000,120,50000,680,0.5266,12.64,88.47,384.41
ap-northeast-3,30,0,60,7,0.0039,0.09,0.66,2.88
ap-northeast-3,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-northeast-3,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-northeast-3,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-northeast-3,200,0,400,46,0.0263,0.63,4.42,19.2
ap-northeast-3,200,10,12000,93,0.1003,2.41,16.85,73.2
ap-northeast-3,200,20,15000,117,0.1249,3.0,20.99,91.2
ap-northeast-3,200,120,45000,351,0.3864,9.27,64.91,282.05
ap-northeast-3,1000,0,2000,234,0.1387,3.33,23.3,101.23
