provider,region,country,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,1,2,0.0456,0.0456,1.0944,1.0944,7.661,7.661,33.29,33.29
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,2,4,0.0912,0.0912,2.1888,2.1888,15.322,15.322,66.58,66.58
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,4,8,0.1824,0.1824,4.3776,4.3776,30.643,30.643,133.15,133.15
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,8,16,0.3648,0.3648,8.7552,8.7552,61.286,61.286,266.3,266.3
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,16,32,0.7296,0.7296,17.5104,17.5104,122.573,122.573,532.61,532.61
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,32,64,1.4592,1.4592,35.0208,35.0208,245.146,245.146,1065.22,1065.22
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,48,96,2.1888,2.1888,52.5312,52.5312,367.718,367.718,1597.82,1597.82
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,64,128,2.9184,2.9184,70.0416,70.0416,490.291,490.291,2130.43,2130.43
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,2,4,0.114,0.114,2.736,2.736,19.152,19.152,83.22,83.22
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,4,8,0.228,0.228,5.472,5.472,38.304,38.304,166.44,166.44
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,8,16,0.456,0.456,10.944,10.944,76.608,76.608,332.88,332.88
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,16,32,0.912,0.912,21.888,21.888,153.216,153.216,665.76,665.76
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,32,64,1.824,1.824,43.776,43.776,306.432,306.432,1331.52,1331.52
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,48,96,2.736,2.736,65.664,65.664,459.648,459.648,1997.28,1997.28
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,64,128,3.648,3.648,87.552,87.552,612.864,612.864,2663.04,2663.04
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,96,192,5.472,5.472,131.328,131.328,919.296,919.296,3994.56,3994.56
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,128,256,7.296,7.296,175.104,175.104,1225.728,1225.728,5326.08,5326.08
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,1,2,0.0485,0.03345,1.164,0.8028,8.148,5.619,35.4,24.41
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,2,4,0.0969,0.06683,2.3256,1.6039,16.279,11.227,70.74,48.79
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,4,8,0.1938,0.13366,4.6512,3.2077,32.558,22.454,141.47,97.57
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,8,16,0.3876,0.26731,9.3024,6.4154,65.117,44.908,282.95,195.14
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,16,32,0.7752,0.53462,18.6048,12.8309,130.234,89.817,565.9,390.28
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,32,64,1.5504,1.06924,37.2096,25.6618,260.467,179.632,1131.79,780.54
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,48,96,2.3256,1.60386,55.8144,38.4927,390.701,269.449,1697.69,1170.82
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,64,128,3.1008,2.13848,74.4192,51.3236,520.934,359.265,2263.58,1561.09
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,2,4,0.1197,0.1008,2.8728,2.4192,20.11,16.935,87.38,73.58
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,4,8,0.2394,0.2016,5.7456,4.8384,40.219,33.869,174.76,147.17
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,8,16,0.4788,0.4032,11.4912,9.6768,80.438,67.737,349.52,294.33
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,16,32,0.9576,0.8064,22.9824,19.3536,160.877,135.475,699.05,588.67
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,32,64,1.9152,1.6128,45.9648,38.7072,321.754,270.951,1398.1,1177.35
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,48,96,2.8728,2.4192,68.9472,58.0608,482.63,406.425,2097.14,1766.01
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,64,128,3.8304,3.2256,91.9296,77.4144,643.507,541.901,2796.19,2354.69
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,96,192,5.7456,4.8384,137.8944,116.1216,965.261,812.851,4194.29,3532.03
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,192,384,11.4912,9.6768,275.7888,232.2432,1930.522,1625.703,8388.58,7064.07
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,1,2,0.0533,0.02961,1.2792,0.7107,8.954,4.974,38.91,21.62
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,2,4,0.1066,0.05922,2.5584,1.4213,17.909,9.949,77.82,43.23
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,4,8,0.2132,0.11844,5.1168,2.8427,35.818,19.899,155.64,86.47
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,8,16,0.4264,0.23689,10.2336,5.6853,71.635,39.797,311.27,172.93
