region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
global,30,0,60,7,0.0,0.0,0.0,0.0
global,30,10,1800,14,0.0,0.0,0.0,0.0
global,30,20,2250,17,0.0,0.0,0.0,0.0
global,30,120,6750,52,0.0,0.0,0.0,0.0
global,200,0,400,46,0.0,0.0,0.0,0.0
global,200,10,12000,93,0.0,0.0,0.0,0.0
global,200,20,15000,117,0.0,0.0,0.0,0.0
global,200,120,45000,351,0.0,0.0,0.0,0.0
global,1000,0,2000,234,0.03,0.66,4.61,20.02
global,1000,10,50000,468,0.05,1.1,7.68,33.36
global,1000,20,50000,585,0.06,1.54,10.75,46.7
global,1000,120,50000,680,0.25,5.92,41.46,180.15
